tweet,tweet_language,source,geo,retweet_count,favorite_count,favorited,retweeted,user_id,username,user_screename,user_location,followers_count,friends_count,listed_count,created_at,statuses_count,language
MAKE MORE MOVIES LIKE JOKER,en,Twitter for iPhone,,3287,8379,False,False,482790441,Dane DeHaan,danedehaan,Brooklyn.,183946,276,1012,Sat Feb 04 09:33:59 +0000 2012,3147,
The bluecheck elite hate on Joker because it's about a poor white man and you aren't allowed to make movies about t… https://t.co/mvBSWN5YEo,en,Twitter Web Client,,922,3326,False,False,592730371,Jack Posobiec 🇺🇸,JackPosobiec,"Washington, DC",544572,989,4362,Mon May 28 13:31:22 +0000 2012,108123,
#Asuran is emerging as Best of @dhanushkraja in Box Office for us & it will be next to VIP which holds previous Box… https://t.co/Z0ddO2Fu31,en,Twitter for Android,,1270,6355,False,False,2776160768,Ram Muthuram Cinemas,RamCinemas,Tirunelveli,375585,150,54,Thu Aug 28 10:23:03 +0000 2014,7650,
"Samuel L. Jackson responds to Martin Scorsese's Marvel criticism, 'Everybody doesn't like his stuff either' https://t.co/pYhrVwAomp",en,SocialFlow,,661,3302,False,False,16312576,Entertainment Weekly,EW,"Los Angeles, CA",6646401,5823,25578,Tue Sep 16 16:13:23 +0000 2008,238803,
"Usually, Tamil movies don't make much money in #USA

#Asuran is doing very well there.. 

Looks like @dhanushkraja… https://t.co/bWUzO3Xuoe",en,Twitter Web App,,474,2315,False,False,102268884,Ramesh Bala,rameshlaus,"Chennai, India",415084,658,522,Wed Jan 06 04:17:52 +0000 2010,205751,
#Asuran will enter 2019 's Top 5 Tamil movies in #USA this weekend..,en,Twitter for Android,,353,1997,False,False,102268884,Ramesh Bala,rameshlaus,"Chennai, India",415084,658,522,Wed Jan 06 04:17:52 +0000 2010,205751,
"#Asuran enters 2019 Top 5 Tamil Movies in #NorthAmerica 

1. #Petta

2. #NerKondaPaarvai 

3. #SuperDeluxe

4. #Viswasam

5. #Asuran",en,Twitter Web App,,936,5326,False,False,102268884,Ramesh Bala,rameshlaus,"Chennai, India",415084,658,522,Wed Jan 06 04:17:52 +0000 2010,205751,
"America or Andhra - Megastar craze remains unparalleled

#SyeRaa joins elite club for $2M in US. Only 15 other movi… https://t.co/xtIgTcSYOR",en,Twitter for iPhone,,275,668,False,False,3111658152,Telugu360,Telugu360,,202413,12,120,Fri Mar 27 22:01:54 +0000 2015,30399,
"Favorite Moon-related movies. Go! 

This is ours 😍 

#ObserveTheMoon
https://t.co/oDe5ztA8ZK https://t.co/IsrSIsZqdb",en,Sprinklr,,544,2534,False,False,14982625,NASA Moon,NASAMoon,"Greenbelt, MD",211729,157,2754,Mon Jun 02 17:37:05 +0000 2008,1670,
"They blame movies. They blame video games. They blame candidates like me. All countries have movies, video games, a… https://t.co/nDpfZVVAaZ",en,Twitter for iPhone,,13516,66163,False,False,342863309,Beto O'Rourke,BetoORourke,"El Paso, TX",1631891,823,6348,Tue Jul 26 18:05:52 +0000 2011,7623,
